Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
ziadoz,awesome-php,26200,https://github.com/ziadoz/awesome-php,2,107,500,Awesome Lists
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line,NA,0,1500,Awesome Lists
rust-unofficial,awesome-rust,24200,https://github.com/rust-unofficial/awesome-rust,13,0,1700,Awesome Lists
goabstract,Awesome-Design-Tools,23900,https://github.com/goabstract/Awesome-Design-Tools,1,52,1800,Awesome Lists
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell,29,52,2100,Awesome Lists
sindresorhus,awesome-electron,22400,https://github.com/sindresorhus/awesome-electron,0,0,1900,Awesome Lists
serverless,serverless,42100,https://github.com/serverless/serverless,830,32,5100,Amazon Web Services
localstack,localstack,38700,https://github.com/localstack/localstack,338,18,2900,Amazon Web Services
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks,10,12,700,Amazon Web Services
bregman-arie,devops-exercises,21200,https://github.com/bregman-arie/devops-exercises,12,5,4400,Amazon Web Services
ramitsurana,awesome-kubernetes,12500,https://github.com/ramitsurana/awesome-kubernetes,3,0,200,Amazon Web Services
aws,aws-cli,1200,https://github.com/aws/aws-cli,432,196,3100,Amazon Web Services
kubernetes-sigs,kubespray,11900,https://github.com/kubernetes-sigs/kubespray,106,31,500,Amazon Web Services
pulumi,pulumi,11400,https://github.com/pulumi/pulumi,1300,68,620,Amazon Web Services
donnemartin,awesome-aws,10100,https://github.com/donnemartin/awesome-aws,6,55,1400,Amazon Web Services
apereo,cas,9300,https://github.com/apereo/cas,NA,2,3700,Amazon Web Services
mozilla,sops,9100,https://github.com/mozilla/sops,247,64,549,Amazon Web Services
aws,chalice,8700,https://github.com/aws/chalice,314,49,894,Amazon Web Services
aws-amplify,amplify-js,8600,https://github.com/aws-amplify/amplify-js,677,47,1900,Amazon Web Services
apex,up,8500,https://github.com/apex/up,279,4,366,Amazon Web Services
aws,serverless-application-model,8400,https://github.com/aws/serverless-application-model,253,36,2200,Amazon Web Services
aws,aws-cdk,8200,https://github.com/aws/aws-cdk,2100,204,2200,Amazon Web Services
google,go-cloud,8200,https://github.com/google/go-cloud,20,4,706,Amazon Web Services
caprover,caprover,8200,https://github.com/caprover/caprover,54,2,549,Amazon Web Services
angristan,openvpn-install,7400,https://github.com/angristan/openvpn-install,67,25,1900,Amazon Web Services
aws,aws-sdk-go,7400,https://github.com/aws/aws-sdk-go,83,26,1800,Amazon Web Services
boto,boto3,700,https://github.com/boto/boto3,252,26,1500,Amazon Web Services
aws,aws-sdk-js,6900,https://github.com/aws/aws-sdk-js,188,28,1500,Amazon Web Services
hashicorp,terraform-provider-aws,6900,https://github.com/hashicorp/terraform-provider-aws,3000,436,6200,Amazon Web Services
GoogleCloudPlatform,terraformer,6800,https://github.com/GoogleCloudPlatform/terraformer,35,25,878,Amazon Web Services
aws,amazon-sagemaker-examples,6500,https://github.com/aws/amazon-sagemaker-examples,516,89,4900,Amazon Web Services
awslabs,aws-shell,6400,https://github.com/awslabs/aws-shell,83,12,706,Amazon Web Services
gruntwork-io,terratest,5900,https://github.com/gruntwork-io/terratest,122,42,996,Amazon Web Services
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli,399,39,100,Amazon Web Services
99designs,aws-vault,5800,https://github.com/99designs/aws-vault,63,7,551,Amazon Web Services
donnemartin,dev-setup,5600,https://github.com/donnemartin/dev-setup,23,10,1100,Amazon Web Services
